50_Da,,5_Da,,Da,,02_Da,,002_Da,
X,Y,X,Y,X,Y,X,Y,X,Y
0,0.9999999999999999,0,0.9999999999999999,0,1.0003546099290779,0,0.9999999999999999,0,0.9999999999999999
2.350530376084862,0.9489361702127659,4.580520732883315,0.9372340425531913,6.810511089681775,0.9425531914893616,7.774831243973004,0.9652482269503545,10.12536162005786,0.9829787234042552
5.48457087753134,0.8886524822695034,10.306171648987466,0.8663120567375886,13.62102217936355,0.8865248226950353,16.755062680810035,0.9234042553191488,24.529893924783025,0.9602836879432622
9.522661523625843,0.8134751773049644,15.429122468659592,0.8010638297872339,19.949373191899717,0.8368794326241134,26.39826422372228,0.8819148936170211,38.874156219865,0.9358156028368793
13.44021215043395,0.7400709219858155,20.250723240115725,0.7393617021276595,27.2420443587271,0.778723404255319,36.28254580520732,0.8390070921985815,49.30086788813885,0.9198581560283687
17.659112825458052,0.6599290780141843,26.458534233365484,0.6613475177304964,33.20877531340405,0.7340425531914891,49.42140790742528,0.7840425531914892,62.37945998071359,0.8985815602836879
21.697203471552555,0.5858156028368793,33.08823529411765,0.5875886524822694,39.71793635486982,0.6851063829787233,60.51108968177435,0.7372340425531914,73.22806171648986,0.8815602836879431
26.458534233365484,0.500709219858156,39.2960462873674,0.5159574468085106,46.58871745419479,0.6354609929078013,73.64995178399228,0.6851063829787233,86.96962391513982,0.8595744680851063
30.436354869816782,0.43014184397163124,45.26277724204435,0.451418439716312,54.484088717454185,0.5808510638297871,85.58341369334619,0.6382978723404255,99.80713596914175,0.8414893617021275
34.95660559305689,0.35425531914893615,51.95274831243974,0.3797872340425531,62.560270009643205,0.5237588652482268,98.90308582449374,0.5875886524822694,116.44165863066537,0.8152482269503545
39.35631629701061,0.2833333333333332,58.40163934426229,0.31666666666666654,71.54050144648023,0.4656028368794325,114.27193828351012,0.5326241134751772,134.58293153326906,0.7886524822695034
44.11764705882352,0.20709219858156025,65.87512054001928,0.2464539007092198,79.85776277724204,0.4131205673758864,126.74783027965283,0.4897163120567375,148.02314368370298,0.7684397163120567
50.26518804243008,0.11702127659574468,72.20347155255546,0.1921985815602837,89.50096432015428,0.35815602836879434,142.23722275795564,0.4375886524822694,161.5236258437801,0.7492907801418438
55.74975891996142,0.05070921985815602,79.73722275795565,0.13617021276595742,98.54146576663452,0.30638297872340425,155.73770491803282,0.3946808510638298,174.54194792671166,0.730496453900709
60.872709739633564,0.009929078014184523,88.23529411764706,0.0790780141843972,109.81195756991322,0.2464539007092198,171.4681774349084,0.3464539007092198,188.9464802314368,0.7102836879432624
67.62295081967214,0,96.49228543876565,0.03652482269503543,119.63596914175507,0.20000000000000007,187.13837994214077,0.3021276595744681,204.07425265188044,0.6882978723404254
81.9069431051109,0,104.80954676952747,0.008865248226950229,130.78592092574735,0.15212765957446805,204.3153326904532,0.2563829787234043,219.6841851494696,0.6670212765957446
96.43201542912247,0,118.67164898746385,0,141.51398264223724,0.11063829787234036,219.20202507232398,0.22056737588652486,237.10221793635486,0.6443262411347517
112.82545805207327,0,137.11427193828348,0,155.49662487946,0.06524822695035448,233.0641272902604,0.18723404255319143,249.99999999999994,0.628368794326241
126.92864030858244,0,151.51880424300867,0,166.40549662487945,0.038652482269503574,249.99999999999994,0.1539007092198581,,
142.96046287367403,0,165.80279652844746,0,180.99083895853425,0.013475177304964392,,,,
161.40308582449376,0,180.44840887174541,0,192.08052073288331,0.0035460992907800915,,,,
177.07328833172613,0,197.98698167791707,0,207.63018322082934,0,,,,
192.56268081002895,0,212.75313404050144,0,223.42092574734812,0,,,,
207.0274831243973,0,228.54387656702022,0,238.72950819672133,0,,,,
220.82931533269044,0,242.28543876567022,0,250.0602700096432,-0.00035460992907809796,,,,
235.4749276759884,0,249.99999999999994,0,,,,,,
249.99999999999994,0,,,,,,,,
