50_epsilon,,5_epsilon,,2_epsilon,,epsilon,,05_epsilon,,02_epsilon,,002_epsilon,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,0.9998816708081885,0.1008633906237435,0.9998816708081885,0,1.0007691397467757,0,1.0004733167672466,0.05043169531187175,1.0001774937877175,0,1.0007691397467757,0,1.0004733167672466
-0.1008633906237364,0.9522541711040114,0.9582022109255206,0.9498875872677791,2.4207213749697374,0.9478168264110758,4.034535624949569,0.9631996213465863,6.455256999919307,0.9720743107324578,7.312595820221098,0.9874571056679684,9.279431937384011,0.9992900248491304
-0.1008633906237364,0.9043308484203054,2.0676995077866565,0.8930895751982015,8.119502945211018,0.8581824636137736,10.540224320180748,0.9075849011951249,15.532962156055838,0.9333215004141523,17.953683531025582,0.9694119039166964,21.231743726297104,0.9972192639924271
-0.15129508593560814,0.836291563128624,3.8328088437020895,0.8161756005206485,12.809650609214877,0.7848183646905693,19.718792866941023,0.835995740149095,24.711530702816113,0.8975269198911373,28.44347615589445,0.9522541711040114,34.444847898006934,0.9936693882380785
0.15129508593560814,0.7522778369423738,6.1526668280480905,0.7383741569045084,20.929153554425888,0.6638267660631879,29.048656499636884,0.7620399952668324,33.99096264020012,0.8593657555318899,38.73154199951586,0.9356880842503847,48.01097393689985,0.9921902733404332
0.3025901718712234,0.6957756478523254,7.968207859275388,0.6685599337356527,27.3844105543452,0.5738965802863567,37.31945453078351,0.7019879304224352,44.430323569757114,0.818542184356881,49.776083272815306,0.9167554135605255,60.71976115549101,0.9904153354632589
0.6051803437424326,0.6235948408472372,9.834180585814572,0.6031830552597326,34.192689421447604,0.48130398769376415,50.63342209311708,0.6061412850550232,54.214072460259835,0.7812684889362207,61.67796336641653,0.8978227428706663,72.26861938190916,0.9895278665246717
0.7060437343661761,0.5431309904153355,12.305333656096188,0.5159152762986631,41.80787541353991,0.38811974914211345,63.03961913983701,0.5203526209915987,64.95602356168806,0.7395574488226246,74.28588719438395,0.8777067802626909,85.58258694424273,0.9877529286474974
1.1599289921730005,0.45379245059756257,14.322601468570973,0.4558632114542659,47.859678850964265,0.3183055259732578,76.30315500685873,0.43426813394864516,74.03372871782457,0.7055378061767839,84.82611151456467,0.860549047450006,100.15734688937303,0.9839072299136198
