02_theta,,002_theta,
X,Y,X,Y
0,1,0,1
8.330470628649955,0.9303382130237254,3.0917210580556542,0.9409389197375063
17.004465819306084,0.8626956082786472,7.471659223634489,0.8874305906108026
25.33493644795604,0.795557799091368,12.96805221573343,0.834427057041898
34.86774304362763,0.7248864209994952,18.97973205084164,0.7854618879353862
43.541738234283756,0.6592629984856133,27.052559257986942,0.7269056032306915
52.90278254895226,0.5956587582029278,34.86774304362763,0.6718828874305907
61.49089659910683,0.5305401312468451,46.28993473033323,0.6052498738011105
71.79663345929235,0.47097425542655225,55.994503607007914,0.5492175668854115
80.64239093095156,0.40787481070166587,66.4720027481965,0.4962140333165068
87.77052559257987,0.36597677940434126,75.14599793885264,0.4487632508833922
96.78804534524217,0.31347804139323576,83.81999312950877,0.4083796062594649
106.92201992442462,0.2599697122665321,97.47509446925456,0.3488137304391722
117.14187564410854,0.2089853609288238,107.35142562693231,0.30943967693084296
130.45345242184817,0.1509338717819283,118.51597389213329,0.27006562342251383
141.1885949845414,0.10853104492680454,129.07935417382345,0.23472993437657752
152.69666781174857,0.07117617364967188,137.83923050498112,0.2089853609288238
162.48711782892474,0.045431600201918165,149.776709034696,0.17566885411408373
176.14221916867058,0.01665825340737004,159.39539677086913,0.15345784957092368
188.93850910340092,0.002019182231196348,168.75644108553763,0.13175164058556277
203.88182755066993,0,178.4610099622123,0.11256940938919735
219.2545517004466,0,190.99965647543797,0.09237758707723365
232.6520096186877,0,204.4829955341807,0.07370015143866748
242.44245963586394,0,216.84987976640332,0.059565875820292824
250,-0.0005047955577992536,227.84266575060116,0.04795557799091377
,,239.17897629680527,0.03937405350832912
,,250,0.03230691569914179
